Pseudowort	Loss (max)	Loss (min)	Anz. Schritte
das1461	4.74	0.502	2217
das875	5.13	4.06	1288
dass135	7.34	6.6	1248
dasselbe104	23.7	21.7	1293
dem1777	7.66	6.68	1365
den557	5.82	3.52	1277
den671	6.14	5.82	1277
denn10	7.5	7.24	1177
der1509	6.92	5.36	1486
der1681	6.33	1.98	1873
der557	8.32	0.645	1873
der875	4.5	2.97	1513
desto111	5.57	5.29	1241
die875	5.72	3.46	1365
diese605	3.99	0.0316	9131
dieses19	0.829	0.0352	7506
durch1574	5.71	0.722	3331
ebenso122	4.43	3.85	1301
ebenso98	4.67	3.44	1501
ein127	4.09	3.61	1377
ein1715	3.8	1.11	1873
ein1835	5.21	0.751	2497
ein762	5.01	4.41	1392
einander1574	11.3	3.63	4999
eine129	6.76	3.63	1573
eine1715	3.97	1.82	1916
eine1835	2.96	1.44	1781
eine605	6.11	3.72	1441
einem127	5.78	5.12	1359
einer127	5.49	1.79	2497
entweder1779	2.11	0.163	2497
er1004	6.15	1.34	2499
er1346	5.2	3.53	2217
erst5	5.98	5.47	1340
es125	4.39	4.13	1282
es1313	3.24	0.121	4999
es1346	4.82	1.04	4999
es1631	7.52	1.04	1759
es605	5.02	0.664	2217
euch1574	4.04	0.197	4999
excellence1342	17.3	12.9	1556
früher1459	4.35	4.02	1261
für13	9.66	3.23	1398
für1525	6.24	2.23	2140
für350	6.7	6.0	1417
gab605	5.09	2.48	1441
ganz697	5.79	4.61	1281
ganz777	5.56	4.72	1327
gar5	6.29	5.96	1205
gar697	6.48	5.87	1281
gar777	6.15	5.51	1327
geben605	5.16	1.02	2499
gegeben605	5.42	1.37	1661
gegen83	5.22	5.0	1266
genauso122	4.16	3.05	1398
genauso98	3.93	3.21	1417
geschweige10	24.6	24.5	1233
gewesen1459	5.22	0.414	4999
gibt605	3.67	0.326	2217
gleich100	5.9	4.11	1593
gleich675	4.85	4.24	1475
gleich676	5.99	5.66	1331
gleich98	3.25	0.308	3331
gleiche104	10.0	9.17	1417
gleichen1777	5.85	4.97	1431
gleichkam676	8.94	4.15	2499
gleichkommen676	17.1	6.52	3331
gleichkommt676	13.0	8.65	1997
gleichkäme676	26.0	18.5	1661
gleicht132	12.9	11.1	1431
gold1554	3.32	0.35	9239
habe605	4.45	0.163	3331
haben605	5.35	0.258	4999
hat605	3.82	0.279	2497
hatte605	1.85	0.0114	9114
heisst1631	17.9	12.4	1759
her1351	4.19	3.58	1396
her1511	4.23	3.65	1365
herunter1574	9.55	3.37	3331
heute1459	3.06	2.77	1441
hin1351	5.45	3.18	1396
hin1511	4.64	3.36	1365
hinaus1574	7.66	2.19	4999
hindurch1574	16.0	6.92	3331
hinunter1574	10.5	4.34	3331
hätte1756	5.01	1.74	2499
hätten1756	3.28	0.764	2499
hättest1756	7.91	2.5	4999
im1346	5.9	4.04	1661
im1777	5.27	5.23	1299
im557	6.14	4.44	1486
in1316	4.57	4.27	1361
in1777	6.18	4.92	1365
in557	3.59	3.1	1341
in605	2.57	0.126	4999
in858	5.36	3.49	1336
ist125	5.26	4.22	1321
ist130	4.23	3.63	1243
ist1313	6.71	1.01	1495
ist1459	4.83	3.9	1275
